Title,SJR,H index,Quartile
Ca-A Cancer Journal for Clinicians,"106,094",211,Q1
Foundations and Trends in Machine Learning,"37,044",39,Q1
Nature Reviews Molecular Cell Biology,"35,910",508,Q1
Quarterly Journal of Economics,"30,448",306,Q1
Nature Reviews Cancer,"26,837",505,Q1
Cell,"24,342",892,Q1
Nature Reviews Drug Discovery,"22,399",391,Q1
American Economic Review,"22,344",359,Q1
Nature Reviews Materials,"21,836",184,Q1
Nature Reviews Clinical Oncology,"21,048",217,Q1
New England Journal of Medicine,"20,544",1184,Q1
Journal of Finance,"19,139",352,Q1
Nature Medicine,"19,045",630,Q1
Current Protocols in Bioinformatics,"18,663",71,Q1
MMWR supplements,"18,587",23,Q1
Journal of Political Economy,"18,530",215,Q1
Nature,"18,509",1391,Q1
Nature Biotechnology,"18,117",511,Q1
Chemical Reviews,"17,828",833,Q1
Econometrica,"17,701",223,Q1
Review of Financial Studies,"17,654",234,Q1
Cancer Cell,"17,507",398,Q1
Nature Energy,"17,497",229,Q1
Nature Genetics,"17,300",639,Q1
Reviews of Modern Physics,"16,061",388,Q1
Nature Reviews Immunology,"16,009",467,Q1
IEEE Communications Surveys and Tutorials,"15,966",264,Q1
World Psychiatry,"15,827",140,Q1
Annual Review of Immunology,"15,620",328,Q1
National Vital Statistics Reports,"14,943",115,Q1
Nature Methods,"14,796",388,Q1
Advances in Physics,"14,780",123,Q1
Nano Research Energy,"14,707",32,Q1
MMWR Recommendations and Reports,"14,618",160,Q1
Academy of Management Annals,"14,605",109,Q1
Nature Nanotechnology,"14,577",419,Q1
Nature Reviews Genetics,"14,293",421,Q1
Nature Materials,"14,231",558,Q1
Administrative Science Quarterly,"14,175",210,Q1
Annals of Oncology,"13,942",294,Q1
Annual Review of Astronomy and Astrophysics,"13,670",210,Q1
Journal of Financial Economics,"13,655",311,Q1
Review of Economic Studies,"13,609",165,Q1
Immunity,"13,578",455,Q1
Nature Catalysis,"13,315",136,Q1
Morbidity and Mortality Weekly Report,"13,080",260,Q1
Chemical Society Reviews,"12,511",635,Q1
American Economic Journal: Macroeconomics,"12,324",81,Q1
Nature Reviews Methods Primers,"12,294",46,Q1
eScience,"12,288",44,Q1
Proceedings of the IEEE International Conference on Computer Vision,"12,263",356,-
Nature Neuroscience,"12,261",479,Q1
Handbook of Econometrics,"12,192",24,Q1
"Lancet Oncology, The","12,179",408,Q1
"Lancet, The","12,113",895,Q1
Science,"11,902",1336,Q1
Nature Cancer,"11,900",61,Q1
Journal of Marketing,"11,799",284,Q1
Annual Review of Pathology: Mechanisms of Disease,"11,748",147,Q1
Joule,"11,724",187,Q1
Nature Electronics,"11,667",109,Q1
Nature Reviews Chemistry,"11,603",109,Q1
Cell Metabolism,"11,406",345,Q1
Nature Immunology,"11,274",440,Q1
Nature Photonics,"11,249",385,Q1
Journal of Economic Literature,"11,092",180,Q1
Energy and Environmental Science,"10,935",436,Q1
Physiological Reviews,"10,821",388,Q1
Journal of Clinical Oncology,"10,639",624,Q1
Academy of Management Review,"10,486",306,Q1
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,"10,331",531,-
MMWR Surveillance Summaries,"10,275",121,Q1
Cell Stem Cell,"10,253",305,Q1
"Lancet Diabetes and Endocrinology,The","10,247",173,Q1
Nature Reviews Disease Primers,"10,215",186,Q1
Living Reviews in Relativity,"10,188",93,Q1
Psychological Science in the Public Interest,"9,887",60,Q1
Journal of Hepatology,"9,857",301,Q1
Annual Review of Condensed Matter Physics,"9,821",87,Q1
Annual Review of Biochemistry,"9,745",321,Q1
Nature Reviews Gastroenterology and Hepatology,"9,741",193,Q1
Astronomy and Astrophysics Review,"9,664",78,Q1
Nature Reviews Microbiology,"9,639",372,Q1
Nature Reviews Earth and Environment,"9,521",67,Q1
Cell Research,"9,506",216,Q1
Annual Review of Psychology,"9,438",279,Q1
"Lancet Public Health, The","9,434",90,Q1
Molecular Cell,"9,332",443,Q1
Advanced Materials,"9,191",640,Q1
Journal of Econometrics,"9,161",188,Q1
Synthesis Lectures on Artificial Intelligence and Machine Learning,"9,129",30,Q1
"Lancet Gastroenterology and Hepatology, The","8,957",105,Q1
American Economic Journal: Applied Economics,"8,933",109,Q1
Annual Review of Economics,"8,925",76,Q1
Acta Numerica,"8,913",85,Q1
Nature Cell Biology,"8,913",409,Q1
Reviews of Geophysics,"8,853",191,Q1
Cell Genomics,"8,807",20,Q1
Journal of the American College of Cardiology,"8,762",493,Q1
Science immunology,"8,761",106,Q1
Annual Review of Fluid Mechanics,"8,751",214,Q1
Advanced Energy Materials,"8,748",319,Q1
Signal Transduction and Targeted Therapy,"8,737",117,Q1
Advances in Optics and Photonics,"8,735",88,Q1
IEEE Journal on Selected Areas in Communications,"8,707",263,Q1
Annual Review of Neuroscience,"8,658",261,Q1
eLight,"8,650",22,Q1
"Lancet Neurology, The","8,589",355,Q1
Circulation,"8,415",674,Q1
Psychological Bulletin,"8,412",359,Q1
Nature Reviews Cardiology,"8,408",183,Q1
Journal of Accounting and Economics,"8,337",187,Q1
Academy of Management Journal,"8,271",375,Q1
Nature Physics,"8,228",334,Q1
Molecular Cancer,"8,222",196,Q1
AI Open,"8,119",16,Q1
Gut,"8,052",348,Q1
Foundations and Trends in Finance,"8,051",23,Q1
Synthesis Lectures on Communication Networks,"7,993",12,Q1
Nature Microbiology,"7,982",138,Q1
"Lancet Respiratory Medicine,The","7,965",182,Q1
Nature Biomedical Engineering,"7,951",116,Q1
Endocrine Reviews,"7,922",307,Q1
Journal of Thoracic Oncology,"7,879",178,Q1
Nature Reviews Neuroscience,"7,860",474,Q1
JAMA Oncology,"7,843",173,Q1
Nature Reviews Physics,"7,833",70,Q1
"Lancet Psychiatry,The","7,827",145,Q1
Strategic Management Journal,"7,820",333,Q1
Progress in Materials Science,"7,796",235,Q1
Review of Finance,"7,769",77,Q1
ACM Transactions on Graphics,"7,766",251,Q1
Cell Host and Microbe,"7,760",241,Q1
Neuron,"7,728",530,Q1
Nature Climate Change,"7,724",267,Q1
Annual Review of Organizational Psychology and Organizational Behavior,"7,706",75,Q1
Annual Review of Plant Biology,"7,555",298,Q1
Review of Economics and Statistics,"7,553",200,Q1
Journal of Management,"7,539",280,Q1
Cancer Discovery,"7,533",229,Q1
Journal of Hematology and Oncology,"7,522",144,Q1
Journal of Economic Perspectives,"7,496",224,Q1
Living Reviews in Solar Physics,"7,472",68,Q1
Nature Protocols,"7,419",303,Q1
Annual Review of Genetics,"7,366",200,Q1
Nature Sustainability,"7,366",115,Q1
Gastroenterology,"7,362",466,Q1
Annual Review of Clinical Psychology,"7,348",145,Q1
"Lancet Digital Health, The","7,277",66,Q1
Nature Reviews Endocrinology,"7,274",203,Q1
The Innovation,"7,268",41,Q1
ACS Energy Letters,"7,202",195,Q1
Genome Biology,"7,197",301,Q1
Journal of the Academy of Marketing Science,"7,194",207,Q1
Nature Metabolism,"7,192",75,Q1
Annals of Mathematics,"7,154",137,Q1
Nature Structural and Molecular Biology,"7,151",303,Q1
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,"7,086",49,Q1
Nucleic Acids Research,"7,048",637,Q1
Nature Chemistry,"6,940",291,Q1
European Urology,"6,928",261,Q1
Annual Review of Physiology,"6,870",237,Q1
Journal of Experimental Medicine,"6,838",490,Q1
Materials Science and Engineering: R: Reports,"6,822",172,Q1
Electrochemical Energy Reviews,"6,791",62,Q1
Fungal Diversity,"6,787",123,Q1
Clinical Microbiology Reviews,"6,762",331,Q1
Organizational Research Methods,"6,712",138,Q1
International Journal of Computer Vision,"6,668",221,Q1
Journal of the European Economic Association,"6,658",119,Q1
Journal of Accounting Research,"6,625",169,Q1
Science Robotics,"6,601",101,Q1
Journal of Monetary Economics,"6,564",149,Q1
Chem,"6,556",144,Q1
American Economic Journal: Economic Policy,"6,519",88,Q1
Science Translational Medicine,"6,510",284,Q1
Nano-Micro Letters,"6,484",116,Q1
Annual Review of Cell and Developmental Biology,"6,456",240,Q1
Journal of Applied Psychology,"6,453",340,Q1
Physics Reports,"6,435",318,Q1
Journal of the American Mathematical Society,"6,428",110,Q1
Neuro-Oncology,"6,348",163,Q1
"Lancet Infectious Diseases, The","6,329",291,Q1
Review of Asset Pricing Studies,"6,315",29,Q1
ACM Computing Surveys,"6,280",213,Q1
Advances in Methods and Practices in Psychological Science,"6,269",42,Q1
JAMA Psychiatry,"6,241",408,Q1
Nature Reviews Neurology,"6,237",207,Q1
Intensive Care Medicine,"6,232",237,Q1
JAMA Cardiology,"6,231",113,Q1
"Lancet Global Health,The","6,221",136,Q1
Progress in Polymer Science,"6,211",331,Q1
Advanced Powder Materials,"6,197",28,Q1
JAMA Neurology,"6,194",272,Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence,"6,158",417,Q1
"Philosophical Review, The","6,146",65,Q1
Annals of the Rheumatic Diseases,"6,138",288,Q1
Progress in Energy and Combustion Science,"6,114",228,Q1
Nature Human Behaviour,"6,097",98,Q1
Proceedings of the IEEE,"6,085",325,Q1
Journal of Labor Economics,"6,084",131,Q1
Foundations and Trends in Signal Processing,"6,069",20,Q1
Pharmacological Reviews,"6,050",254,Q1
Trends in Cell Biology,"6,002",263,Q1
Journal of Marketing Research,"5,984",202,Q1
Molecular Plant,"5,967",162,Q1
Materials Today,"5,949",228,Q1
Accounts of Chemical Research,"5,948",453,Q1
Nature Machine Intelligence,"5,940",67,Q1
Nature Reviews Nephrology,"5,939",161,Q1
JAMA - Journal of the American Medical Association,"5,928",768,Q1
IEEE Wireless Communications,"5,926",188,Q1
Progress in Retinal and Eye Research,"5,923",189,Q1
European Journal of Heart Failure,"5,919",171,Q1
Annual Review of Entomology,"5,909",230,Q1
Physical Review X,"5,896",183,Q1
Nature Geoscience,"5,874",263,Q1
Developmental Cell,"5,828",295,Q1
Annual Review of Political Science,"5,826",129,Q1
Entrepreneurship Theory and Practice,"5,819",198,Q1
International Journal of Information Management,"5,775",177,Q1
Review of Educational Research,"5,772",186,Q1
JACC: Heart Failure,"5,724",106,Q1
Nature Aging,"5,705",30,Q1
Diabetes Care,"5,694",418,Q1
InfoMat,"5,672",69,Q1
Clinical Psychology Review,"5,653",255,Q1
Information Fusion,"5,647",156,Q1
Marketing Science,"5,643",153,Q1
IEEE Transactions on Cybernetics,"5,641",185,Q1
Organization Science,"5,632",281,Q1
IEEE Communications Magazine,"5,631",282,Q1
NCHS data brief,"5,622",95,Q1
Perspectives on Psychological Science,"5,597",181,Q1
Annual Review of Biophysics,"5,561",172,Q1
Nature Chemical Biology,"5,558",259,Q1
Nature Reviews Psychology,"5,549",17,Q1
Annual Review of Environment and Resources,"5,501",147,Q1
Advanced Functional Materials,"5,496",402,Q1
JAMA Pediatrics,"5,494",221,Q1
EMBO Journal,"5,489",429,Q1
Journal of the American Chemical Society,"5,489",703,Q1
Review of Accounting Studies,"5,481",97,Q1
Annual Review of Medicine,"5,480",176,Q1
Manufacturing and Service Operations Management,"5,466",110,Q1
Annual Review of Earth and Planetary Sciences,"5,462",178,Q1
Annual Review of Public Health,"5,440",178,Q1
Management Science,"5,438",290,Q1
Journal of Consumer Research,"5,428",220,Q1
Review of Corporate Finance Studies,"5,418",24,Q1
"Annual Review of Ecology, Evolution, and Systematics","5,403",247,Q1
"Lancet Microbe, The","5,392",42,Q1
Energy Storage Materials,"5,374",158,Q1
IEEE Transactions on Wireless Communications,"5,371",251,Q1
Advanced Photonics,"5,361",42,Q1
Organization Studies,"5,349",179,Q1
American Journal of Respiratory and Critical Care Medicine,"5,336",423,Q1
Annals of Statistics,"5,335",192,Q1
Molecular Systems Biology,"5,305",172,Q1
Angewandte Chemie - International Edition,"5,300",640,Q1
EnergyChem,"5,274",40,Q1
Blood,"5,272",525,Q1
IEEE Transactions on Evolutionary Computation,"5,209",210,Q1
Molecular Neurodegeneration,"5,205",115,Q1
Mycosphere,"5,204",40,Q1
Carbon Energy,"5,202",53,Q1
Reports on Progress in Physics,"5,195",247,Q1
Light: Science and Applications,"5,187",153,Q1
Trends in Ecology and Evolution,"5,165",381,Q1
Journal of Public Economics,"5,144",174,Q1
Nature Plants,"5,134",131,Q1
Brookings Papers on Economic Activity,"5,133",96,Q1
Applied Catalysis B: Environmental,"5,112",328,Q1
Psychotherapy and Psychosomatics,"5,104",117,Q1
American Political Science Review,"5,070",203,Q1
"Lancet Planetary Health, The","5,057",72,Q1
Nature Ecology and Evolution,"5,056",118,Q1
Matter,"5,048",88,Q1
Analytic Methods in Accident Research,"5,020",54,Q1
Foundations and Trends in Systems and Control,"5,016",19,Q1
Genes and Development,"5,015",479,Q1
Hepatology,"5,011",403,Q1
Journal of the National Cancer Institute,"4,986",387,Q1
Genome Medicine,"4,975",123,Q1
